Offering,hesta Conservative,hesta Eco,hesta Balanced Growth,hesta Indexed Balanced Growth,hesta Cash and Term Deposits,hesta Property and Infrastructure,hesta Diversified Bonds,hesta International Shares,hesta Australian Shares,hesta Core Pool ,hesta Shares Plus ,hesta Cash ,hesta Global Bonds ,hesta Property ,hesta Infrastructure ,hesta International Shares ,hesta Australian Shares ,hesta Private Equity ,hesta High Growth,aware Conservative,aware Growth,aware Growth AVG,aware High Growth AVG,aware Diversified Socially Responsible Investment,aware Diversified Socially Responsible Investment AVG,aware Balanced Growth,aware Balanced Growth AVG,aware Cash,aware Cash AVG,aware Australian Equities,aware Australian Equities AVG,aware Australian Equities Socially Responsible Investment,aware Australian Equities Socially Responsible Investment AVG,aware International Equities,aware International Equities AVG,aware Property,aware Property AVG,aware Australian Fixed Interest,aware Australian Fixed Interest AVG,aware International Fixed Interest,aware International Fixed Interest AVG,aware Conservative Growth,aware Conservative Growth AVG,telstra Growth,telstra Balanced,telstra Defensive Growth,telstra Conservative,telstra International Shares,telstra Australian Shares,telstra Property,telstra Fixed Interest,telstra Cash,telstra Diversified Income
2001-12,,,,,,,,,,,,,,,,,,,,0.0659006,1.3434754,,,,,0.84583,,0.5596619,,,,,,,,,,,,,,0.4240511,,,,,,,,,,,
2002-01,,,,,,,,,,,,,,,,,,,,-0.4160626,-1.1910033,,,,,-0.7521983,,0.3543643,,,,,,,,,,,,,,-0.2631763,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,,,,,,-0.7973325,0.3081788,,,,,0.3479008,,0.2807923,,,,,,,,,,,,,,0.3700048,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,,,,,,1.6362063,0.5151658,,,,,0.2188897,,0.2284667,,,,,,,,,,,,,,-0.0299822,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,,,,,,-0.864929,-0.7246727,,,,,-0.2007039,,0.3246241,,,,,,,,,,,,,,0.2824007,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,,,,,,-0.7112031,-0.0378007,,,,,0.0970511,,0.401133,,,,,,,,,,,,,,0.2491897,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,,,,,,-4.4263055,-2.2377679,,,,,-1.2515529,,0.5218931,,,,,,,,,,,,,,-0.3242026,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,,,,,,-5.5754842,-3.1653995,,,,,-2.0436943,,0.5282567,,,,,,,,,,,,,,-0.920934,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,,,,,,5.188995,1.6683699,,,,,1.5562733,,0.3153491,,,,,,,,,,,,,,1.3761214,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,,,,,,-5.8089402,-2.3720262,,,,,-1.3330518,,0.4511269,,,,,,,,,,,,,,-0.362471,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,,,,,,2.0421393,0.7356736,,,,,0.5909151,,0.380272,,,,,,,,,,,,,,0.4612351,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,,,,,,2.1586721,2.0171607,,,,,1.5990712,,0.3773942,,,,,,,,,,,,,,1.1356065,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,,,,,,-0.8793501,-0.4836748,,,,,0.0847804,,0.3832538,,,,,,,,,,,,,,0.5326352,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,,,,,,-1.6850465,-1.5337313,,,,,-0.9266416,,0.4504344,,,,,,,,,,,,,,-0.3319868,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,,,,,,-3.0884992,-1.8397194,,,,,-1.0266342,,0.3358228,,,,,,,,,,,,,,-0.3208691,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,,,,,,2.2268137,2.1757478,,,,,1.5032201,,0.2593975,,,,,,,,,,,,,,0.8627071,,,,,,,,,,,
2003-04,,,,,,,,,,,,,,,,,,,,2.5479101,1.9860684,,,,,1.6813044,,0.3832373,,,,,,,,,,,,,,1.3020872,,,,,,,,,,,
2003-05,,,,,,,,,,,,,,,,,,,,0.7258312,2.0161153,,,,,1.9253798,,0.3636698,,,,,,,,,,,,,,1.6561958,,,,,,,,,,,
2003-06,,,,,,,,,,,,,,,,,,,,2.0831005,0.1769957,,,,,0.1420116,,0.467374,,,,,,,,,,,,,,0.1467686,,,,,,,,,,,
2003-07,,,,,,,,,,,,,,,,,,,,0.8456297,0.9590827,,,,,0.3376909,,0.1405594,,,,,,,,,,,,,,-0.112185,,,,,,,,,,,
2003-08,,,,,,,,,,,,,,,,,,,,1.3834149,1.3270698,,,,,0.8594316,,0.2087734,,,,,,,,,,,,,,0.4475784,,,,,,,,,,,
2003-09,,,,,,,,,,,,,,,,,,,,0.5716846,-0.319506,,,,,0.1286936,,0.3435441,,,,,,,,,,,,,,0.4779901,,,,,,,,,,,
2003-10,,,,,,,,,,,,,,,,,,,,0.8943095,1.7941919,,,,,1.2160706,,0.3495811,,,,,,,,,,,,,,0.690635,,,,,,,,,,,
2003-11,,,,,,,,,,,,,,,,,,,,-0.106567,-0.1628623,,,,,0.00652,,0.1707314,,,,,,,,,,,,,,0.1736403,,,,,,,,,,,
2003-12,,,,,,,,,,,,,,,,,,,,2.5724442,2.3360091,,,,,1.9035656,,0.4735476,,,,,,,,,,,,,,1.4566953,,,,,,,,,,,
2004-01,,,,,,,,,,,,,,,,,,,,2.1190148,0.64202,,,,,0.6098952,,0.3932678,,,,,,,,,,,,,,0.5546192,,,,,,,,,,,
2004-02,,,,,,,,,,,,,,,,,,,,0.3125339,0.9545039,,,,,0.8597766,,0.33675,,,,,,,,,,,,,,0.7749427,,,,,,,,,,,
2004-03,,,,,,,,,,,,,,,,,,,,1.3352985,1.6675598,,,,,1.3887661,,0.5463393,,,,,,,,,,,,,,1.1319681,,,,,,,,,,,
2004-04,,,,,,,,,,,,,,,,,,,,2.2841031,1.0177664,,,,,0.643914,,0.3103283,,,,,,,,,,,,,,0.2469694,,,,,,,,,,,
2004-05,,,,,,,,,,,,,,,,,,,,-0.7074592,0.1397272,,,,,0.1967499,,0.4157715,,,,,,,,,,,,,,0.271477,,,,,,,,,,,
2004-06,,,,,,,,,,,,,,,,,,,,2.9739486,2.3347659,,,,,1.7709975,,0.4790726,,,,,,,,,,,,,,1.1713963,,,,,,,,,,,
2004-07,,,,,,,,,,,,,,,,,,,,-2.1306719,-0.9709841,,,,,-0.5849862,,0.3417894,,,,,,,,,,,,,,-0.1411205,,,,,,,,,,,
2004-08,,,,,,,,,,,,,,,,,,,,1.3810071,1.399464,,,,,1.2905599,,0.4398354,,,,,,,,,,,,,,1.2059565,,,,,,,,,,,
2004-09,,,,,,,,,,,,,,,,,,,,2.3507505,1.2706863,,,,,1.1198061,,0.4379646,,,,,,,,,,,,,,0.9880819,,,,,,,,,,,
2004-10,,,,,,,,,,,,,,,,,,,,-0.00705,1.1596671,,,,,0.9555138,,0.3912875,,,,,,,,,,,,,,0.7809295,,,,,,,,,,,
2004-11,,,,,,,,,,,,,,,,,,,,4.2419785,2.7524887,,,,,2.1053432,,0.4476837,,,,,,,,,,,,,,1.4792232,,,,,,,,,,,
2004-12,,,,,,,,,,,,,,,,,,,,3.7229345,2.794117,,,,,2.1015047,,0.3808174,,,,,,,,,,,,,,1.4075123,,,,,,,,,,,
2005-01,,,,,,,,,,,,,,,,,,,,-0.1414612,0.3294011,,,,,0.3393726,,0.3266065,,,,,,,,,,,,,,0.3625003,,,,,,,,,,,
2005-02,,,,,,,,,,,,,,,,,,,,1.2494868,0.2613136,,,,,0.2170489,,0.2178602,,,,,,,,,,,,,,0.1561873,,,,,,,,,,,
2005-03,,,,,,,,,,,,,,,,,,,,0.7458418,0.2636932,,,,,0.239604,,0.3659539,,,,,,,,,,,,,,0.2108752,,,,,,,,,,,
2005-04,,,,,,,,,,,,,,,,,,,,-1.8302149,-0.8201632,,,,,-0.2929629,,0.5459591,,,,,,,,,,,,,,0.236554,,,,,,,,,,,
2005-05,,,,,,,,,,,,,,,,,,,,2.187415,2.2607146,,,,,1.7916026,,0.3950221,,,,,,,,,,,,,,1.3224032,,,,,,,,,,,
2005-06,,,,,,,,,,,,,,,,,,,,2.570664,2.3181325,,,,,1.8778468,,0.49584,,,,,,,,,,,,,,1.4595909,,,,,,,,,,,
