Offering,1993-01,1993-02,1993-03,1993-04,1993-05,1993-06,1993-07,1993-08,1993-09,1993-10,1993-11,1993-12,1994-01,1994-02,1994-03,1994-04,1994-05,1994-06,1994-07,1994-08,1994-09,1994-10,1994-11,1994-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1996-01,1996-02,1996-03,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
aware Balanced Growth,,,,,,,,,,,,,,,,,,,0.5700000000000001,1.7856147,-1.7339331999999998,0.4513656,-2.1823406,1.3430166000000001,-1.0736772,1.9475281,1.0836375,3.7606569,2.733018,1.2047561,0.8399287999999999,1.1682342000000001,0.8379338000000001,-0.5192684000000001,2.8902556,1.3956806,1.8188818,-0.127408,-0.2512043,2.0800269,-1.0082098,0.5259423,-0.8141735000000001,3.7734072,0.7563936,1.6919389,2.1719551,0.46422169999999996,0.7323277,1.6082777,-1.3207961000000001,0.9494755,3.607146,3.4279229,1.906882,-1.4967957,3.2882754,-3.1335717,1.2023249,2.5044645,0.6941873000000001,2.3273631,2.1255305,0.7919199,0.1836795,-0.7797116,1.3022018,-2.1226305,1.3252122,1.0403505,2.5177441,1.2628074,0.44905730000000005,0.5126315,1.0658447,1.6087122999999999,-2.3887243,1.2467096,1.7274724000000001,0.17864770000000002,-1.2542595,-1.1416552,3.6057339,0.8680030999999999,-1.407337,1.1451485000000001,2.0985093999999997,-0.2300887,0.024496,2.0838238,1.1284622,1.7358398000000002,-1.2505464000000002,0.5243248,0.7471236,0.4488906,1.3945845000000001,-0.8848136,-0.7670761,1.2171923,1.5339149,0.8295561,-1.1916298,0.5449011,-4.1718104,3.9470735,0.6569852,0.84583,-0.7521983,0.3479008,0.2188897,-0.2007039,0.0970511,-1.2515528999999999,-2.0436943,1.5562733,-1.3330518,0.5909150999999999,1.5990712,0.08478039999999999,-0.9266416,-1.0266342,1.5032201,1.6813044,1.9253798,0.1420116,0.3376909,0.8594316,0.1286936,1.2160706000000001,0.00652,1.9035656,0.6098952000000001,0.8597766,1.3887661,0.643914,0.1967499,1.7709975,-0.5849862,1.2905599,1.1198061000000001,0.9555138,2.1053432,2.1015047,0.3393726,0.2170489,0.23960399999999998,-0.2929629,1.7916026,1.8778468,1.4365666,0.5614703000000001,2.3644861,-1.8639080999999997,3.2791501,1.6178571,1.2031234,0.6743439999999999,2.2280669,0.4076301,-1.1844662000000001,0.39354710000000004,-0.6625886,1.3843613,0.9922161,1.7261826,0.47241799999999995,1.8903455999999998,1.0023125000000002,1.8556774000000003,-0.9062254000000001,1.9629667,0.8832041,-0.4423234,-0.9654513,1.0422206999999999,1.7097985999999998,1.2585122,-1.3640835,0.3813149,-3.1164537,-0.06177030000000001,-1.55693,2.0575406000000003,0.1576001,-2.6956041,-1.712512,2.6893392,-1.1568755,-5.7952265,-0.7279475,0.6571226,-0.7756449000000001,-2.2391068,2.8973388,0.8482389,0.9671641999999999,0.5476453,1.9911372999999999,3.037815,1.4468136,-0.7998732999999999,1.0178995,1.2335877,-1.0188493,0.3679502,2.2453099,-0.2280254,-1.8605063000000002,-0.515612,1.9018726,-0.7283183000000001,1.9335227,0.4635669,0.032758800000000005,1.1220048,1.3954423,0.17311710000000002,0.3412938,0.7324418,-0.555279,0.044958,-0.6320277,-1.8460964,-0.3025968,2.0971065,-1.3599926,0.44310900000000003,1.598898,1.0704834,1.5462270999999999,0.1704433,-0.9498924000000001,-0.3369024,1.0738801,1.6501944000000002,0.909127,0.657245,0.033890500000000004,1.7945695000000002,2.1246536,0.8995840999999999,1.7730741,1.7129309999999998,-1.5538847,3.299678,0.6024752999999999,1.6553617,1.2031242,0.6741556,1.0021071,-0.27286469999999996,1.5335301000000001,-0.6212493,0.9395678,1.1634289,0.1676977,0.8605385999999999,0.8968307,-0.2509579,0.2160079,1.6215826999999998,1.0621398,0.8194702,2.6098783,0.41692300000000004,0.7945242,-0.1653955,-1.3639803000000001,1.4904370999999998,-1.5956826,-0.7950906000000001,2.3556924,-0.1623242,-0.0977404,-1.9178284,0.099544,1.1030016,1.3548605999999999,1.9110672,-0.648854,2.3821838,0.3497786,0.051199999999999996,-0.5865484,0.8523856,1.3519582,0.2653647,0.9124064,1.3268151000000001,1.3170841,0.8446784,0.0523,0.2499911,0.6971178,0.6282369999999999,1.9440381999999998,1.202463,0.2299658,0.9805123000000001,-0.0415,-0.45612150000000007,1.2593789,0.5729551,0.7164121,1.0035412000000001,1.2157630000000001,-0.2937428,-2.067307,-0.15066400000000002,-0.8159055000000001,2.0842335,1.9495086,1.0003475,1.4361544,-0.221564,1.8186798,1.3268475,-0.2932292,0.6585871,0.4704601,1.9649471000000003,-0.21894570000000002,1.782087,-2.0706743,-6.089441,1.3223715,1.5142524,1.1967834,0.7274098,0.9788399999999999,-0.20881390000000002,0.2463684,2.7441259,1.0318262,0.19804825337246001,0.09498946308934551,1.59635189550471,,,
aware Balanced Growth AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Cash,0.049,0.4590252,0.5438147,0.2744952,0.4173778,0.349384,0.40733840000000004,0.4475423,0.37745819999999997,0.3411057,0.3944339,0.0,0.3708574,0.30827150000000003,0.3887892,0.35054359999999996,0.4015943,0.33673800000000004,0.47741930000000005,0.4727271,0.4833997,0.39695549999999996,0.3983291,0.5444186999999999,0.6132661,0.5663332,0.571338,0.48509440000000004,0.6895575,0.5267895,0.4648743,0.5937157000000001,0.46391180000000004,0.5617359,0.5127307999999999,0.4571909,0.5933510000000001,0.46116860000000004,0.4884553,0.6411291,0.5611007,0.46658120000000003,0.5821718,0.5479711,0.7015707999999999,0.5585644,0.4718882,0.4936216,0.44961070000000003,0.3816767,0.39648449999999996,0.47707829999999996,0.46773689999999996,0.4639158,0.42991369999999995,0.34864829999999997,0.3096401,0.3456709,0.4703391,0.375962,0.30686149999999995,0.322851,0.3979331,0.36869609999999997,0.3364045,0.3899836,0.4191078,0.4405205,0.3079875,0.334526,0.3321622,0.3733695,0.2985471,0.3369197,0.40172869999999994,0.3607154,0.3372698,0.3809304,0.4241805,0.39167480000000005,0.3832772,0.3303832,0.409949,0.4084854,0.42202799999999996,0.43122789999999994,0.4853909,0.38738670000000003,0.5193669,0.46546519999999997,0.47213359999999993,0.44498350000000003,1.2016351,-0.2713849,0.4637362,0.5386167,0.5284068000000001,0.49215400000000004,0.4389927,0.4205561,0.3580511,0.3561284,0.3088267,0.5315234999999999,1.2934728,0.3688731,0.2834149,0.5596618999999999,0.3543643,0.2807923,0.22846670000000002,0.32462409999999997,0.40113299999999996,0.5218931,0.5282567,0.3153491,0.4511269,0.380272,0.3773942,0.3832538,0.4504344,0.3358228,0.2593975,0.3832373,0.3636698,0.467374,0.1405594,0.2087734,0.3435441,0.34958110000000003,0.1707314,0.47354759999999996,0.3932678,0.33675,0.5463393000000001,0.3103283,0.4157715,0.4790726,0.34178939999999997,0.4398354,0.4379646,0.39128749999999995,0.4476837,0.38081740000000003,0.32660649999999997,0.2178602,0.3659539,0.5459590999999999,0.39502210000000004,0.49584,0.3266972,0.4814056,0.3280794,0.3445022,0.5252154,0.4014242,0.41014290000000003,0.3766933,0.42726600000000003,0.2577495,0.38964329999999997,0.4092129,0.2986602,0.49840850000000003,0.4285674,0.449383,0.47280849999999996,0.42968049999999997,0.49199869999999996,0.41350040000000005,0.42301459999999996,0.4496206,0.4883483,0.4579482,0.3928954,0.4816748,0.4419816,0.5228314000000001,0.4758131,0.4715387,0.5455349,0.4767829,0.5035558,0.5741558,0.5474675,0.5794796,0.5032059999999999,0.5350332,0.4818366,0.6128492999999999,0.4507505,0.3832994,0.3172729,0.2587062,0.216191,0.2399849,0.1980141,0.2515792,0.2186206,0.2061231,0.2559264,0.2086603,0.2459366,0.28423699999999996,0.2882592,0.2833835,0.3005946,0.2957549,0.2910399,0.3735654,0.3217519,0.341502,0.3425067,0.3346097,0.3290649,0.38615659999999996,0.34028600000000003,0.32549300000000003,0.3788568,0.3296792,0.421548,0.3891801,0.31243719999999997,0.3735965,0.334586,0.32956959999999996,0.35490869999999997,0.3291042,0.3178588,0.3032617,0.3155413,0.3172032,0.3501316,0.2324644,0.22650919999999997,0.278492,0.25366120000000003,0.2752113,0.2131169,0.2460954,0.26123219999999997,0.21835549999999998,0.43792149999999996,0.2959369,0.19196459999999999,0.2358317,0.20850589999999997,0.1744348,0.2360966,0.1877318,0.1918433,0.2252942,0.1823414,0.1907717,0.22007680000000002,0.282445,0.22808059999999997,0.187046,0.20581979999999997,0.1955086,0.2237515,0.1879692,0.2280921,0.2068023,0.2035949,0.1824595,0.1695729,0.1642583,0.1837436,0.137206,0.1522422,0.151654,0.158764,0.1340027,0.1741444,0.1651531,0.1492673,0.1779982,0.1664246,0.2027881,0.1826181,0.1474706,0.1882896,0.1334053,0.1818518,0.1576024,0.1547783,0.164793,0.1457482,0.1588075,0.1572757,0.1615192,0.1577411,0.1551513,0.16168359999999998,0.14944369999999998,0.1572747,0.1469675,0.15334630000000002,0.15846770000000002,0.14520539999999998,0.1489062,0.1686544,0.16999789999999998,0.1586414,0.1823497,0.17547369999999998,0.1544575,0.1862937,0.1692017,0.1730031,0.17752020000000002,0.1632509,0.1713507,0.1903893,0.1709318,0.1457088,0.1309637,0.11743540000000001,0.1180242,0.1184788,0.0862,0.1086579,0.1073891,0.09659999999999999,0.0958,0.0818,0.0601,0.0765,0.0582,0.0498,0.0385,0.043,0.0377,0.0359,0.027111464332274515,0.02449481482931226,0.035216939608817555,,,
aware Cash AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Australian Equities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,0.97,0.7853733999999999,4.4163125,1.8466869000000001,5.191628000000001,-0.9414229,4.7166408,1.7126066,-0.1447339,-2.6394066,1.0903155,6.1482887999999996,4.5861974,-5.1070162,0.1153958,-8.750335,0.8663499,-5.6409252,4.1433817,1.4819448000000002,-6.2983609,-6.421524400000001,3.6853895999999997,-0.8958761000000001,-16.3624047,-5.8470489,2.4556692,-2.9361821,-2.9822938,9.9848484,1.1731785,2.3977093000000003,3.6365129000000005,3.9714573000000004,7.5404834,5.1099475,-0.0431313,0.6242353,2.9134896,-3.6277396000000004,0.7815040000000001,5.683013600000001,-1.6839940000000002,-7.891339,-1.5289831999999999,4.610183,-2.6456576,6.7671603,-0.3044044,-0.1831128,3.6689753,0.5853169,0.7152217,-0.1634939,2.7529339999999998,-2.9391881,-0.9566198,-1.5433607999999999,-4.3111384,-3.5876071,6.480606699999999,-4.8545456,0.35111729999999997,3.9450918,1.123118,2.1742087,0.1453158,-4.8266366,-1.8370866,2.7096143,4.263720800000001,0.4868024,2.4613763,-0.1469042,4.1466233,4.6564198,3.1894535,1.79541,-0.9184460999999999,-4.3029071000000005,6.0405280999999995,1.8907516,5.0409835,1.7277489,-0.8930554,-0.1168393,-1.61129,4.5839099,-0.6399076,2.7180209,0.2929585,-1.8631694,2.7222432000000003,1.7307655000000002,-4.3088683,2.0216472999999997,-0.0673044,1.3603003,1.1873374,6.8542426,0.34299769999999996,0.460453,-2.4290091,-3.7483248,2.5234665,-4.8818491999999996,-0.9445729999999999,3.6498279,-1.0608321,1.1011183,-5.0455754,-0.4703708,2.9769858,3.0721152000000003,4.3105329,-2.439094,4.9737455,-0.6422902,0.5296153,-1.8219561,2.6744797,3.6978725,-0.681157,2.0910118,3.0373406,0.8677749,-2.1648395000000002,0.1704671,0.019200000000000002,0.9209423,0.1885613,3.4217352,1.803449,1.6109825000000002,-0.36174419999999996,0.5157306,-3.2138393,3.2914744000000002,1.2629543,2.8243535,1.1700448,1.5115131,-0.9918359,-5.5065474000000005,-1.6309056,0.1649778,3.2871534000000002,5.480249000000001,0.8374503999999999,2.1878153,1.7828397,3.2359096,2.6681396,-1.7928541,1.8014862999999999,-0.3213609,2.9579119,-1.5877447,4.3385967999999995,-6.7608877,-18.2088404,7.745909500000001,3.9935407,2.2720556999999997,0.5336685,2.8851677,-3.1253468,1.9246751,8.8813212,1.2808894,0.31172604624185,1.46548640073809,2.23790552517479,,,
aware Australian Equities AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Australian Equities Socially Responsible Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1399999999999997,1.9944222,4.3741515,8.105396800000001,4.9295156,1.5051013,0.4065254,2.5477681,-3.5069863,1.0680711,5.5222105,-1.9859645,-7.6353539,-3.5446871,5.9036767,-3.6892677,7.253116499999999,-0.6896796000000001,-0.4562612,3.6588211000000004,0.3916147,-0.3999353,0.5127187,2.0919993000000003,-2.8029161,-0.9051247,-2.3461081000000004,-4.4421383,-3.7005885000000003,6.858958800000001,-5.628614600000001,0.1804923,4.8494606000000005,0.1270598,1.8692578000000002,0.9300447999999999,-5.8210935,-1.0626830999999999,3.5008377999999998,4.5382721,0.3642204,2.3037177,0.053882599999999996,4.3634985,5.0967612,1.9265672,1.9823372,-0.9177787999999999,-3.7715209,6.0641246,0.8310916999999999,4.6315247,1.8775838,-0.22827889999999998,-0.2579037,-1.6358373,3.3092374,-0.2374401,2.6920932,0.6331895,-1.4395928,2.6467872999999997,1.6344786,-3.9020353,2.0394033,0.3411867,1.2921745,1.5076341,6.3483545,1.0873582,-0.021188199999999997,-2.9362421999999997,-3.4525388999999995,3.3768515999999997,-4.7395571,-1.5068036,3.2384231,-0.0353543,1.9117012,-5.238937,-1.4389140999999999,2.0863650000000002,2.421758,2.6835049,-3.1021275,4.4849215,-1.0721114999999999,-0.3724935,-2.200207,2.4659929000000003,3.4952405,-1.0322224,2.0596509,1.9677401,1.1936683,-1.8080062000000001,0.5737540999999999,-0.3923317,-0.13665549999999999,0.3402658,3.0328133,1.746381,0.8301558,-0.49168880000000004,1.4841748,-3.3173908,2.5451422,0.9460756000000001,1.998493,0.6376929,2.0238178,-1.4827759,-5.4568004000000006,-1.0979092,-1.1289788,3.2752327999999995,5.3893471,1.4929444,2.5282853000000003,2.2396438,3.2388755,3.3486025,-1.8034694,1.225226,-0.2449004,2.4510551,-1.8667636,4.4917792,-6.22947,-17.9130923,6.6961767000000005,3.6228114,2.1891506,1.1562071,2.6723727999999998,-3.7485558,1.6961191,7.746539299999999,0.9878686,-0.40601563965164,0.38164660260893,3.6190877666301304,,,
aware Australian Equities Socially Responsible Investment AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware International Equities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4597,-0.0110389,-0.9610788,3.6782833,1.0157513,1.1695634,-3.0768002,2.845153,2.0350892,-2.4366029,-3.4944314999999997,1.9762036,-0.1327399,-0.5453423,-1.5695560000000002,0.9446289,-8.3110863,-1.2134465,-2.4388407,4.1508664,-1.2566414,-6.0380932,-2.4728969,5.5110231,-4.888849,-11.8730371,-1.748844,-2.2747018,0.9311698,-7.644050600000001,2.0895496,3.0152799,1.1361384,-0.5571697,3.9785166,3.9619415,-0.2367863,-3.1674531,2.5989117,3.0479411,-2.6498552,-0.2403587,4.3503089,-0.44829270000000004,-1.4350224,-3.3838502,3.1129205,-2.6680965,1.6331853,2.1930216,0.2435114,0.5702185000000001,4.7755448,-1.1578135999999999,-0.4676785,-0.7309723,-1.0639641,-0.2736519,-2.5923547,-5.7320519,0.5836007,2.7005399,-2.7693928,0.49228900000000003,2.6756288,3.0621302999999997,4.0751033,-1.0574419,-1.7539737999999998,-1.7184329000000003,0.3601159,3.0623772000000002,2.2738272999999998,-0.38304900000000003,-0.3798076,3.2132495,3.8512814,-0.0726771,3.5230997,8.5438425,-1.2368295,6.3991964,0.9737976,1.5789659,1.8555224,4.5333157,3.6540219,-1.4990596,1.7670149,-3.32724,0.5709438,2.8973005,0.4926412,0.13969220000000002,1.1114433,2.7674183,-2.0732977,6.6840321,2.6443074,-0.6533169,5.5427509,0.1699303,1.3102762000000001,2.285622,-2.7747654,4.4596045,-4.3500139,-3.7301931,7.9352432,-0.8082973,-1.5761663,-5.9736722,-0.25828589999999996,0.882814,2.8922784,4.5121015,-4.2581774,2.7614118,0.5216037,-1.1915778,-1.2783243,4.0941195,3.9478816,-2.1616231999999997,1.256823,1.6412943,3.2416726,2.4310389000000003,-1.8676049,-1.3711962,0.7262348,3.1472303999999998,3.9072788,3.02341,-1.6063404,1.7088898000000001,-0.2689645,-0.5264823,2.7258245,0.47498250000000003,2.120219,2.3096459,3.9182036000000005,0.5670931,-5.0435871,-1.5826851,-3.8454509999999997,3.6309908,5.116789499999999,1.6044424000000002,4.450464,-3.9085814000000005,4.8746906999999995,2.178284,0.0071400000000000005,1.9265398999999999,0.3868919,4.3085997,-0.6523423,3.9965615000000003,-4.4343496,-7.6252675000000005,3.3560232,3.1451946,-0.9382033,0.6055759,3.1966349,-0.2799624,-0.9566108999999999,6.6573307999999995,-0.5185803,-0.4698882193789,1.38946108023081,4.54019332171451,,,
aware International Equities AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aware Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9286,-0.5612752000000001,4.3564054,2.1950043,4.2073682,1.7393219000000002,-4.6438594,3.7724573999999995,-0.44373349999999995,0.014792099999999999,-0.8269059000000001,2.7170632,2.2123248,0.6061147,-3.8993550000000003,-1.8235419,-4.6854684,-0.9502921,-2.0721076000000003,1.7154615000000002,-1.6632791,-3.5145128999999997,-2.1784477,1.6963751999999999,1.0412492,-11.871150199999999,1.555028,-1.8423503,-5.1379861,-3.7737433,2.0870841,-1.2439068,4.9975159,-2.0773305,-0.9088276,3.3624861999999998,1.4412458,-1.260772,-0.146457,0.6136747,-1.7460608,0.7573878,0.21239700000000003,1.3880579,-1.6066217,1.241993,1.1016369,0.0226791,0.38430640000000005,0.6221214,-0.1810614,0.5701964,1.4578739,0.47658839999999997,-0.024495799999999998,1.1385543999999999,0.150091,0.5623,-1.0587223,-0.41805260000000005,-0.043168200000000004,1.3564433,-0.2440424,0.7210715000000001,2.4725961,0.20532440000000002,1.0404435,1.7622038999999998,-0.0710394,1.2786878,1.8938667,0.880621,0.3935398,1.2320475,0.1467847,1.4422908,2.2341917,0.48642060000000004,2.76946,0.66706,-1.3212094,2.5084993,-0.47007259999999995,0.2847052,1.7980739,-0.1703744,0.1747202,1.2647323,0.9224507,-0.7018532,1.733086,1.131446,0.1083894,1.6063999999999998,0.6166574,0.1036836,2.0349148,1.8670204,1.4160759,3.1889189,-0.6195109,0.9285521999999999,0.0376268,0.45293479999999997,0.2495704,3.0365653999999997,0.7308666,-0.18483449999999998,4.1462109,-1.1848322,0.7548489,-1.0550168,0.4764078,2.8371136000000003,1.2729972,1.9848256000000002,1.3957214,2.6265027,-0.1263217,-1.7755665,-1.6805108999999998,0.2983616,2.7997175999999997,-1.1734953,1.5879929000000002,-0.612603,2.2881752,1.5212525,-0.0978,0.36726570000000003,0.7153335000000001,0.2886107,2.1826564999999998,1.8892485,0.31294669999999997,-0.3726539,-2.6178090000000003,2.0062704,2.5746379999999998,0.8542095,1.9010897,1.0175515,1.8218767,-1.1826227999999999,-0.6793729000000001,1.477587,-2.5948758,6.2208888,1.0756773000000002,2.108626,0.1774133,0.9152667,0.00408,2.1524235,2.7066012,1.0711917,1.1345939,0.6168637,-0.22599769999999997,1.3677226,-4.771902900000001,-15.3409907,3.8985126,0.11170640000000001,1.833908,1.0710488,0.8274046,-1.2231435000000002,-1.7463237,6.9200978,1.7237303,0.3177070364865,2.16134795425588,2.2720947867763597,,,
aware Property AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
