Managed Fund Name,APIR,Fund Managers Name,URL
Hyperion Small Growth Companies ,BNT0101AU,Hyperion,www.hyperion.com.au
IML Australian Share ,IML0002AU,IML,iml.com.au
IML Australian Small Companies ,IML0001AU,IML,iml.com.au
IML Concentrated Australian Share ,IML0010AU,IML,iml.com.au
IML Future Leaders ,IML0003AU,IML,iml.com.au
IML Small Caps ,IML0006AU,IML,iml.com.au
Insight Diversified Inflation Plus ,ETL0396AU,Insight Investment,www.insightinvestment.com
Insync Global Capital Aware ,SLT0041AU ,Insync,www.insyncfm.com.au
Insync Global Quality Equity ,ETL5510AU ,Insync,www.insyncfm.com.au
,,,
Invesco Australian Equity Efficient Income I ,GTU1352AU,Invesco,www.invesco.com.au
Invesco Global Real Estate A ,GTU5547AU,Invesco,www.invesco.com.au
Invesco Senior Secured Loans ,GTU0107AU,Invesco,www.invesco.com.au
Invesco Wholesale Australian Share ,CNA0811AU,Invesco,www.invesco.com.au
Invesco Wholesale Australian Smaller Companies R ,GTU0096AU,Invesco,www.invesco.com.au
Invesco Wholesale Global Opportunities Unhedged ,GTU0102AU,Invesco,www.invesco.com.au
Invesco Wholesale Global Targeted Returns A ,GTU0109AU,Invesco,www.invesco.com.au
Invesco Wholesale Senior Secured Income ,CNA0805AU,Invesco,www.invesco.com.au
IOOF Balanced Investor Trust,IOF0232AU,IOOF,www.ioof.com.au
IOOF Cash Management Trust Class A,PIM0002AU,IOOF,www.ioof.com.au
IOOF MultiMix Australian Shares,IOF0092AU,IOOF,www.ioof.com.au
IOOF MultiMix Balanced Growth,IOF0093AU,IOOF,www.ioof.com.au
IOOF MultiMix Capital Stable,IOF0094AU,IOOF,www.ioof.com.au
IOOF MultiMix Cash Enhanced,IOF0091AU,IOOF,www.ioof.com.au
IOOF MultiMix Conservative,IOF0095AU,IOOF,www.ioof.com.au
IOOF MultiMix Diversified Fixed Interest,IOF0096AU,IOOF,www.ioof.com.au
IOOF MultiMix Growth,IOF0097AU,IOOF,www.ioof.com.au
IOOF MultiMix International Shares,IOF0098AU,IOOF,www.ioof.com.au
IOOF MultiMix Moderate,UFM0051AU,IOOF,www.ioof.com.au
IOOF MultiSeries 30,IOF0253AU,IOOF,www.ioof.com.au
IOOF MultiSeries 50,IOF0254AU,IOOF,www.ioof.com.au
IOOF MultiSeries 70,IOF0090AU,IOOF,www.ioof.com.au
IOOF MultiSeries 90,IOF0255AU,IOOF,www.ioof.com.au
IOOF Profile 45,PBT0001AU,IOOF,www.ioof.com.au
IOOF Profile 55,PBT0002AU,IOOF,www.ioof.com.au
IOOF Profile 65,PBT0003AU,IOOF,www.ioof.com.au
IOOF Profile 75,PBT0004AU,IOOF,www.ioof.com.au
IOOF Profile 85,PBT0005AU,IOOF,www.ioof.com.au
IOOF Profile 95,PBT0006AU,IOOF,www.ioof.com.au
IOOF Profile Australian Shares,PBT0010AU,IOOF,www.ioof.com.au
IOOF Profile Diversified Fixed Interest,PBT0007AU,IOOF,www.ioof.com.au
IOOF Profile International Shares,PBT0008AU,IOOF,www.ioof.com.au
IOOF Profile International Shares (Hedged),PBT0009AU,IOOF,www.ioof.com.au
