Managed Fund Name,APIR,Fund Managers Name,URL
Antares Australian Equities Fund PPL0110AU,PPL0110AU,MLC,https://www.mlcam.com.au/
Antares Elite Opportunities Fund PPL0115AU,PPL0115AU,MLC,https://www.mlcam.com.au/
Pendal Focus Australian Share Fund RFA0059AU,RFA0059AU,Pendal,https://www.pendalgroup.com/
UBS Diversified Fixed Income Fund SBC0007AU,SBC0007AU,UBS,https://www.ubs.com/au/
UBS Cash Fund SBC0811AU,SBC0811AU,UBS,https://www.ubs.com/au/
UBS Cash Plus Fund SBC0812AU,SBC0812AU,UBS,https://www.ubs.com/au/
UBS Australian Bond Fund SBC0813AU,SBC0813AU,UBS,https://www.ubs.com/au/
Schroder (Wholesale) Fixed Income Fund SCH0028AU,SCH0028AU,Schroders,https://www.schroders.com/en/au/
Schroder Global Active Value Fund SCH0030AU,SCH0030AU,Schroders,https://www.schroders.com/en/au/
Schroder Global Emerging Market Fund SCH0034AU,SCH0034AU,Schroders,https://www.schroders.com/en/au/
Schroder Real Return Fund CPI Plus 5% Fund SCH0047AU,SCH0047AU,Schroders,https://www.schroders.com/en/au/
Schroder Real Return CPI Plus 3.5% Fund SCH0096AU,SCH0096AU,Schroders,https://www.schroders.com/en/au/
Schroder (Wholesale) Australian Equity Fund SCH0101AU,SCH0101AU,Schroders,https://www.schroders.com/en/au/
Legg Mason Martin Currie Real Income Fund SSB0026AU,SSB0026AU,Legg Mason Martin,https://www.leggmason.com/en-au/
Legg Mason Martin Currie Equity Income Fund SSB0043AU,SSB0043AU,Legg Mason Martin,https://www.leggmason.com/en-au/
Legg Mason Martin Currie Ethical Values with Income Fund SSB0064AU,SSB0064AU,Legg Mason Martin,https://www.leggmason.com/en-au/
Legg Mason Martin Currie Property Securities Trust SSB0128AU,SSB0128AU,Legg Mason Martin,https://www.leggmason.com/en-au/
Nikko AM Global Share Fund SUN0031AU,SUN0031AU,Nikko,https://www.nikkoam.com.au/
RARE Infrastructure Value Fund – Hedged TGP0008AU,TGP0008AU,ClearBridge,https://www.clearbridgeinvestments.com.au/
RARE Infrastructure Value Fund – Unhedged TGP0034AU,TGP0034AU,ClearBridge,https://www.clearbridgeinvestments.com.au/
Nikko AM Australian Share Wholesale Portfolio TYN0028AU,TYN0028AU,Nikko,https://www.nikkoam.com.au/
Nikko AM Australian Share Income Fund TYN0038AU,TYN0038AU,Nikko,https://www.nikkoam.com.au/
UBS Income Solution Fund UBS0003AU,UBS0003AU,UBS,https://www.ubs.com/au/
Vanguard Australian Fixed Interest Index Fund VAN0001AU,VAN0001AU,Vanguard,https://www.vanguard.com.au/
Vanguard Australian Shares Index Fund VAN0002AU,VAN0002AU,Vanguard,https://www.vanguard.com.au/
Vanguard International Shares Index Fund VAN0003AU,VAN0003AU,Vanguard,https://www.vanguard.com.au/
Vanguard Australian Property Securities Index VAN0004AU,VAN0004AU,Vanguard,https://www.vanguard.com.au/
Vanguard Emerging Markets Shares Index Fund VAN0005AU,VAN0005AU,Vanguard,https://www.vanguard.com.au/
