Managed Fund Name,APIR,Fund Managers Name,URL,,,,,,,,,,,,,
Macquarie Master Enhanced Fixed Interest ,MAQ0180AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Master Property Securities ,MAQ0063AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie P/E Global FX Alpha ,MAQ5143AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Polaris Global Equity ,MAQ0838AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Professional Series Global Alternatives ,MAQ7578AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Small Companies ,MAQ0454AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Australian Fixed Interest ,MAQ0211AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Australian Shares ,MAQ0288AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Cash ,MAQ0789AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Emerging Markets ,MAQ0837AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Global Infrastructure Securities ,MAQ0831AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Global Real Estate Securities ,MAQ0832AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index International Equities ,MAQ0633AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie True Index Listed Property ,MAQ0219AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Walter Scott Emerging Markets ,MAQ0651AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Walter Scott Global Equity Hedged ,MAQ0557AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Walter Scott Global Equity No 1 ,MAQ9692AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Walter Scott Global Equity ,MAQ0410AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Macquarie Wholesale Property Securities ,MAQ0287AU,Macquarie,www.macquarieim.com,,,,,,,,,,,,,
Magellan Global Hedged ,MGE0007AU,Magellan Group,www.magellangroup.com.au,,,,,,,,,,,,,
Magellan Global ,MGE0001AU,Magellan Group,www.magellangroup.com.au,,,,,,,,,,,,,
Magellan High Conviction ,MGE0005AU,Magellan Group,www.magellangroup.com.au,,,,,,,,,,,,,
Magellan Infrastructure ,MGE0002AU,Magellan Group,www.magellangroup.com.au,,,,,,,,,,,,,
Magellan Infrastructure Unhedged ,MGE0006AU,Magellan Group,www.magellangroup.com.au,,,,,,,,,,,,,
Maple-Brown Abbott Australian Equity Trust ,MPL0002AU,Maple Brown Abbot,www.maple-brownabbott.com.au,,,,,,,,,,,,,
Maple-Brown Abbott Diversified Investment Trust ,MPL0001AU,Maple Brown Abbot,www.maple-brownabbott.com.au,,,,,,,,,,,,,
Maple-Brown Abbott Responsible Investment ,MPL0544AU,Maple Brown Abbot,www.maple-brownabbott.com.au,,,,,,,,,,,,,
Mason Stevens Credit A ,MST0002AU,Mason Stevens,masonstevens.com.au,,,,,,,,,,,,,
Mercer Australian Inflation Plus A,MIN0031AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Australian Sovereign Bond ,MIN0030AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Cash-Cash Units ,MIN0008AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Diversified Alternatives ,MIN0026AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Global Credit ,MIN0032AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Global Sovereign Bond ,MIN0028AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Global Unlisted Infrastructure ,MIN0036AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Moderate Growth ,MIN0014AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Passive Australian Listed Property ,MIN0029AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Passive Global Listed Infrastructure ,NCL0012AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
Mercer Passive Global Listed Property ,NCL0010AU,Mercer,www.mercer.com.au,,,,,,,,,,,,,
MFS Blended Research Global Equity Trust ,ETL0402AU,MFS,www.mfs.com,,,,,,,,,,,,,
MFS Emerging Markets Equity Trust ,ETL0334AU,MFS,www.mfs.com,,,,,,,,,,,,,
MFS Fully Hedged Global Equity Trust ,ETL0041AU,MFS,www.mfs.com,,,,,,,,,,,,,
MFS Global Equity Trust ,MIA0001AU,MFS,www.mfs.com,,,,,,,,,,,,,
Mittleman Global Value Equity P ,ETL7776AU,Brook Vine,brookvine.com.au,,,,,,,,,,,,,
MLC PIC Wholesale 0/100 Portfolio ,MLC0774AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC PIC Wholesale 50/50 Portfolio ,MLC0776AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC PIC Wholesale Diversified Debt ,MLC0840AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC PIC Wholesale Global Property ,MLC0788AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC PIC Wholesale Index Plus Conservative Growth Portfolio ,MLC5068AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC PIC Wholesale Property Securities ,MLC0783AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC Wholesale Diversified Debt A ,MLC0839AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC Wholesale Global Property A ,MLC0786AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC Wholesale Horizon 1 Bond Portfolio ,MLC0669AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC Wholesale Horizon 3 Conservative Growth Portfolio ,MLC0398AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
MLC Wholesale Index Plus Conservative Growth Portfolio ,MLC7849AU,MLC,www.mlcam.com.au,,,,,,,,,,,,,
Monash Absolute Investment Fund A ,MON0001AU,Monash,monashinvestors.com,,,,,,,,,,,,,
Montgomery Global ,FHT0036AU,Mont Invest,www.montinvest.com,,,,,,,,,,,,,
Montgomery Investment Management Montaka Global Access ,FTH0038AU,Mont Invest,www.montinvest.com,,,,,,,,,,,,,
Montgomery Investment Management Montaka Global Equities ,PER6331AU,Mont Invest,www.montinvest.com,,,,,,,,,,,,,
Montgomery Investment Management The Montgomery ,FHT0030AU,Mont Invest,www.montinvest.com,,,,,,,,,,,,,
Morningstar Australian Shares A ,INT0022AU,Morningstar,www.morningstar.com.au,,,,,,,,,,,,,
Morningstar Balanced Real Return A ,INT0028AU,Morningstar,www.morningstar.com.au,,,,,,,,,,,,,
Morningstar International Bonds (Hedged) A ,INT0080AU,Morningstar,www.morningstar.com.au,,,,,,,,,,,,,
Morningstar Multi-Asset Defensive Z ,ASK1214AU,Morningstar,www.morningstar.com.au,,,,,,,,,,,,,
Morphic Global opportunities A ,PER0673AU,Morphic,www.morphicasset.com,,,,,,,,,,,,,
Morphic Trium Morphic ESG L/S Global ,PER6416AU,Morphic,www.morphicasset.com,,,,,,,,,,,,,
Munro Global Growth Ordinary ,MUA0002AU,Munro Partners,munropartners.com.au,,,,,,,,,,,,,
Mutual 50 Leaders Australian Shares ,PRM0001AU,Mutual,www.mutualltd.com.au,,,,,,,,,,,,,
Nanuk New World ,SLT2171AU,Nanuk,www.nanukasset.com,,,,,,,,,,,,,
Netwealth Active 50/50 Balanced ,NET0006AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Netwealth Australian Bond Index ,NET0023AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Netwealth Australian Equities Index ,NET0001AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Netwealth Australian Property Index ,NET0010AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Netwealth Global Bond Index ,NET5702AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Netwealth Index Opportunities Balanced ,NET0002AU,Net Wealth,www.netwealth.com,,,,,,,,,,,,,
Nikko AM Global Share ,SUN0031AU,Yarra,www.yarracm.com,,,,,,,,,,,,,
Northcape Capital Global Emerging Markets ,NCP0001AU,Northcape,www.northcape.com.au,,,,,,,,,,,,,
Northcape Capital Global Equities ,NCP2294AU,Northcape,www.northcape.com.au,,,,,,,,,,,,,
Novaport Microcap ,HOW0016AU,Nova Port Capital,www.novaportcapital.com.au,,,,,,,,,,,,,
OC Dynamic Equity ,OPS0001AU,Oc Funds,www.ocfunds.com.au,,,,,,,,,,,,,
OC Micro-Cap ,OPS0004AU,OC Funds,www.ocfunds.com.au,,,,,,,,,,,,,
OC Premium Small Companies ,OPS0002AU,Oc Funds,www.ocfunds.com.au,,,,,,,,,,,,,
Omega Global Corporate Bond ,WHT0023AU,OmegaGI,www.omegagi.com,,,,,,,,,,,,,
Omega Global Listed Infrastructure ,WHT0051AU,OmegaGI,www.omegagi.com,,,,,,,,,,,,,
Ophir Opportunities Ordinary ,OPH0001AU,Ophir,www.ophiram.com.au,,,,,,,,,,,,,
Pan-Tribal Global Equity ,ETL0419AU,Pan Tribal,www.pantribal.com.au,,,,,,,,,,,,,
Paradice Australian Equities AUD ,ETL8084AU,Paradice,www.paradice.com,,,,,,,,,,,,,
Paradice Australian Mid Cap B ,ETL8772AU,Paradice,www.paradice.com,,,,,,,,,,,,,
Paradice Australian Small Cap B ,ETL0739AU,Paradice,www.paradice.com,,,,,,,,,,,,,
Paradice Global Small Cap A Unhedged ,ETL0365AU,Paradice,www.paradice.com,,,,,,,,,,,,,
Partners Group Global Multi Asset ,ETL0431AU,Partners Group,www.partnersgroupaustralia.com.au,,,,,,,,,,,,,
Partners Group Global Real Estate ,ETL0480AU,Partners Group,www.partnersgroupaustralia.com.au,,,,,,,,,,,,,
Payden Global Income Opportunities A ,GSF0008AU,GSFM,www.gsfm.com.au,,,,,,,,,,,,,
Pendal Active Long Volatility ,BTA7229AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Australian Equity ,BTA0055AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Australian Long/Short ,RFA0064AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Australian Share ,RFA0818AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Balanced Returns ,BTA0806AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Concentrated Global Share Hedged ,RFA0031AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Concentrated Global Share No 2 ,RFA0821AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Concentrated Global Share No 3 ,BTA0056AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Concentrated Global Share ,BTA0503AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Dynamic Global Equity ,BTA0321AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Dynamic Income ,BTA8657AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Enhanced Credit ,RFA0100AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Enhanced Global Fixed Interest ,WFS0005AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Fixed Interest ,RFA0032AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Focus Australian Share ,RFA0059AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Global Emerging Markets Opportunities-WS ,BTA0419AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Global Fixed Interest ,RFA0032AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Global Property Securities ,RFA0051AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Government Bond ,BTA0111AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Horizon ,RFA0025AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Imputation ,RFA0103AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Managed Cash ,WFS0245AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal MicroCap Opportunities ,RFA0061AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal MidCap ,BTA0313AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Property Investment ,RFA0817AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Property Securities ,BTA0061AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Pure Alpha Fixed Income ,BTA0441AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Short Term Income Securities ,WFS0377AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Smaller Companies ,RFA0819AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Stable Cash Plus ,BTA0459AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Sustainable Australian Fixed Interest ,BTA0507AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Sustainable Australian Share ,WFS0285AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Sustainable International Fixed Interest ,BTA0509AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Sustainable International Share ,BTA0568AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pendal Total Return ,RFA0108AU,Pendal,www.pendalgroup.com,,,,,,,,,,,,,
Pengana Australian Equities A ,PCL0005AU,Pengana,pengana.com,,,,,,,,,,,,,
Pengana Emerging Companies ,PER0270AU,Pengana,pengana.com,,,,,,,,,,,,,
Pengana Global Small Companies ,PCL0022AU,Pengana,pengana.com,,,,,,,,,,,,,
Pengana High Conviction Equities A ,HHA0020AU,Pengana,pengana.com,,,,,,,,,,,,,
Pengana WHEB Sustainable Impact ,HHA0007AU,Pengana,pengana.com,,,,,,,,,,,,,
Perennial Private to Public Opportunities ,WPC8486AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Australian Shares Trust ,IOF0200AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Microcap Opportunities Trust ,WPC3982AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Shares for Income Trust ,IOF0078AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Shares Wholesale Trust ,IOF0206AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Smaller Companies Trust ,IOF0214AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perennial Value Wealth Defender Australian Shares Trust ,IOF0228AU,Perennial,perennial.net.au,,,,,,,,,,,,,
Perpetual Active Fixed Interest A ,PER8045AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
Perpetual Australian Share ,PER0049AU,Perpetual,www.perpetual.com.au,,,,,,,,,,,,,
